순위	빈도	음절
1	314869	이
2	265071	다
3	232384	는
4	172126	의
5	171493	에
6	162579	을
7	152862	고
8	150918	가
9	144051	하
10	133691	지
11	113920	로
12	113150	한
13	108164	그
14	106129	은
15	103121	서
16	102709	기
17	99943	어
18	88314	도
19	86764	나
20	84774	를
21	84247	사
22	80043	아
23	78532	리
24	77858	있
25	75346	자
26	69423	들
27	67855	대
28	66390	으
29	64261	인
30	62338	시
31	60136	해
32	58485	라
33	58386	것
34	58165	수
35	57152	니
36	56945	게
37	54407	정
38	49019	보
39	45932	일
40	45475	적
41	44672	만
42	43880	부
43	43879	주
44	43685	과
45	43631	제
46	42568	면
47	40355	었
48	39553	전
49	39529	여
50	39345	상
51	37885	장
52	37391	요
53	36967	구
54	34109	문
55	33964	내
56	33145	우
57	31692	성
58	31282	거
59	31041	동
60	30364	생
61	30317	되
62	30184	마
63	30051	러
64	29241	국
65	29105	소
66	29068	화
67	28918	신
68	28660	무
69	28176	했
70	27582	원
71	26804	스
72	26341	오
73	26009	야
74	25964	위
75	25932	경
76	25618	말
77	25168	와
78	25055	조
79	24975	없
80	24764	모
81	24512	데
82	24266	비
83	23706	할
84	23653	계
85	23152	안
86	23016	까
87	22916	중
88	22764	세
89	22618	때
90	22373	미
91	22040	려
92	22033	회
93	21990	학
94	21976	관
95	21973	선
96	21939	간
97	21910	치
98	21719	진
99	21307	공
100	21280	실
